Ad Category,Strategy Type,% of Total Impressions,CTR,Conversions,Strategy Name,Funnel,Description
Shopping,PO.ST,0.05%,0.02%,0,PO.ST WIDGET,Mid Funnel,Target users who have engaged with content via your own Po.st widget
Shopping,POST,1.29%,0.04%,"6,091",PO.ST WIDGET,Mid Funnel,Target users who have engaged with content via your own Po.st widget
Shopping,R1 CONTENT,0.01%,0.11%,0,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Shopping,R1CONTENT,0.00%,0.00%,0,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Shopping,RAWCAT,0.00%,0.00%,0,BEHAVIOURAL SIGNAL,Upper Funnel,Target users who demonstrate relevant purchase intent behaviours to your campaign.
Shopping,RM,0.18%,0.17%,549,RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Shopping,RMFILTER,0.29%,0.03%,"5,526",RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Shopping,RON,5.22%,0.03%,168,REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Shopping,SG,0.04%,0.06%,176,SHAREGRAPH,Mid Funnel,Sharegraph™ - finds the close social connections of your current customers
Shopping,SHAREGRAPH,0.03%,0.08%,263,SHAREGRAPH,Mid Funnel,Sharegraph™ - finds the close social connections of your current customers
Shopping,SITE,0.61%,0.02%,1,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Shopping,SOCIODEMO,0.09%,0.01%,29,DEMOGRAPHIC,Upper Funnel,"Targeting a demographic of Age, Gender and Income"
Shopping,URL,1.86%,0.06%,60,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Shopping,VDOMAIN,0.18%,0.03%,21,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Shopping,VIEWABLE,14.68%,0.03%,146,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Sport,ATF,0.01%,0.01%,0,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Sport,BESPOKE,9.61%,0.05%,220,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Sport,CAT,5.86%,0.02%,135,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Sport,CLICKER,4.05%,0.05%,3,CLICKER,Low Funnel,Targeting users who clicked on your campaign to drive further engagement
Sport,CONTENT,0.21%,0.05%,0,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Sport,CONVERTER,0.00%,0.00%,0,CONVERTER,Low Funnel,Targeting users that converted to drive after sales or repeat business
Sport,DARKSOCIAL,0.18%,0.04%,8,DARKSOCIAL,Low Funnel,Targeting users that share or engage with specific content
Sport,DOMAIN,1.89%,0.04%,2,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Sport,FOLD,4.07%,0.06%,9,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Sport,IP,0.60%,0.04%,2,AUDIENCE EXP,Mid Funnel,Increase reach through identifying devices that are connected to the same customer IP
Sport,IPEXP,0.44%,0.04%,25,AUDIENCE EXP,Mid Funnel,Increase reach through identifying devices that are connected to the same customer IP
Sport,KW,0.01%,0.00%,0,KEYWORD,Mid Funnel,Target pre-defined lists of search keyword
Sport,LOOKALIKE,0.22%,0.08%,11,LOOKALIKE,Mid Funnel,Target new people who behave like current customers
Sport,NETWORK,28.02%,0.04%,82,REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Sport,OG,1.96%,0.03%,32,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Sport,OT,0.27%,0.86%,2,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Sport,PMP,0.03%,0.08%,0,DEAL,Upper Funnel,Targeting a specific Deal ID
Sport,PO.ST,5.07%,0.05%,658,PO.ST WIDGET,Mid Funnel,Target users who have engaged with content via your own Po.st widget
Sport,POST,2.91%,0.07%,309,PO.ST WIDGET,Mid Funnel,Target users who have engaged with content via your own Po.st widget
Sport,POSTURL,0.18%,0.04%,7,PO.ST URL,Mid Funnel,Target users who have clicked on your own Po.st URL links
Sport,R1 CONTENT,0.36%,0.03%,0,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Sport,R1CONTENT,2.20%,0.03%,28,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Sport,R1INTENT,0.10%,0.02%,2,R1INTENT,Mid Funnel,RadiumOne first party data - consumer intent across social sharing
Sport,R1INTENTT,0.01%,0.00%,1,R1INTENT,Mid Funnel,RadiumOne first party data - consumer intent across social sharing
Sport,RAWCAT,0.03%,0.01%,0,BEHAVIOURAL SIGNAL,Upper Funnel,Target users who demonstrate relevant purchase intent behaviours to your campaign.
Sport,RAWREQ,0.11%,0.02%,0,BEHAVIOURAL SIGNAL,Upper Funnel,Target users who demonstrate relevant purchase intent behaviours to your campaign.
Sport,RM,3.19%,0.17%,"2,831",RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Sport,RMFILTER,0.58%,0.04%,33,RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Sport,RON,21.09%,0.03%,107,REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Sport,SEARCH,0.01%,0.03%,1,KEYWORD,Mid Funnel,Target pre-defined lists of search keyword
Sport,SHAREGRAPH,0.02%,0.03%,1,SHAREGRAPH,Mid Funnel,Sharegraph™ - finds the close social connections of your current customers
Sport,SITE,0.00%,0.00%,0,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Sport,URL,0.51%,0.04%,7,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Sport,VIEWABLE,6.20%,0.04%,57,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Technology,BESPOKE,1.40%,0.05%,122,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Technology,CC,0.20%,0.05%,3,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Technology,CONTENT,0.50%,0.01%,63,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Technology,CONVERTER,0.01%,0.02%,8,CONVERTER,Low Funnel,Targeting users that converted to drive after sales or repeat business
Technology,CONVERTERS,0.03%,0.01%,303,CONVERTER,Low Funnel,Targeting users that converted to drive after sales or repeat business
Technology,CONVETER,0.00%,0.09%,5,CONVERTER,Low Funnel,Targeting users that converted to drive after sales or repeat business
Technology,DEAL,0.11%,0.02%,35,PMP,Upper Funnel,"Targeting private market places, relevant to your campaign"
Technology,DOMAIN,13.62%,0.05%,"1,814",DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Technology,DT,0.05%,0.02%,2,DECISION TREE,Upper Funnel,"RadiumOne’s engineering teams will create bespoke strategies based on best performing strategies like time of day, day of week, city, browser type etc."
Technology,FOLD,7.20%,0.03%,"3,583",VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Technology,INTENT,0.00%,0.00%,0,R1INTENT,Mid Funnel,RadiumOne first party data - consumer intent across social sharing
Technology,IPEXP,0.00%,0.01%,0,AUDIENCE EXP,Mid Funnel,Increase reach through identifying devices that are connected to the same customer IP
Technology,KW,0.06%,0.02%,2,KEYWORD,Mid Funnel,Target pre-defined lists of search keyword
Technology,NETWORK,23.63%,0.03%,"4,154",REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Technology,OG,4.92%,0.05%,"18,483",OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Technology,OT,0.00%,0.00%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Technology,OVERLAP,0.01%,0.01%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Technology,PMP,0.22%,0.04%,80,DEAL,Upper Funnel,Targeting a specific Deal ID
Technology,POST,9.84%,0.08%,"9,088",PO.ST WIDGET,Mid Funnel,Target users who have engaged with content via your own Po.st widget
Technology,POSTDOMAIN,0.01%,0.01%,6,PO.ST WIDGET,Mid Funnel,Target users who have engaged with content via your own Po.st widget
Technology,POSTURL,0.02%,0.01%,21,PO.ST URL,Mid Funnel,Target users who have clicked on your own Po.st URL links
Technology,R1CONTENT,0.01%,0.01%,4,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Technology,RAWCAT,0.03%,0.01%,2,BEHAVIOURAL SIGNAL,Upper Funnel,Target users who demonstrate relevant purchase intent behaviours to your campaign.
Technology,REC_DOMAIN,0.04%,0.02%,1,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Technology,REC_DOMAIN_USER,0.46%,0.01%,679,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Technology,REPOST,0.76%,0.08%,261,PO.ST URL,Mid Funnel,Target users who have clicked on your own Po.st URL links
Technology,RM,13.01%,0.04%,"16,528",RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Technology,RMFILTER,0.03%,0.15%,2,RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Technology,RON,11.55%,0.03%,"1,106",REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Technology,SG,0.13%,0.02%,110,SHAREGRAPH,Mid Funnel,Sharegraph™ - finds the close social connections of your current customers
Technology,SHAREGRAPH,0.01%,0.02%,2,SHAREGRAPH,Mid Funnel,Sharegraph™ - finds the close social connections of your current customers
Technology,URL,7.11%,0.03%,406,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Technology,VDOMAIN,0.67%,0.05%,36,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Technology,VIEWABLE,4.34%,0.06%,213,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Travel,APP,0.22%,1.52%,0,APP LIST,Upper Funnel,Targeting a brand safe whitelist of mobile apps
Travel,BESPOKE,7.20%,0.01%,687,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Travel,CLICKER,0.01%,0.19%,0,CLICKER,Low Funnel,Targeting users who clicked on your campaign to drive further engagement
Travel,COMSCORE,0.05%,0.02%,0,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Travel,CONTENT,7.46%,0.03%,122,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Travel,CONVERTER,0.00%,0.00%,0,CONVERTER,Low Funnel,Targeting users that converted to drive after sales or repeat business
Travel,CP,1.99%,0.02%,"4,551",CONVERTER,Low Funnel,Targeting users that converted to drive after sales or repeat business
Travel,DARKSOCIAL,0.08%,0.14%,32,DARKSOCIAL,Low Funnel,Targeting users that share or engage with specific content
Travel,DEAL,0.05%,0.01%,0,PMP,Upper Funnel,"Targeting private market places, relevant to your campaign"
Travel,DOMAIN,6.42%,0.02%,508,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Travel,FOLD,5.24%,0.04%,30,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Travel,IPEXP,0.84%,0.02%,29,AUDIENCE EXP,Mid Funnel,Increase reach through identifying devices that are connected to the same customer IP
Travel,KEYWORD,0.01%,0.04%,0,KEYWORD,Mid Funnel,Target pre-defined lists of search keyword
Travel,KW,0.29%,0.01%,0,KEYWORD,Mid Funnel,Target pre-defined lists of search keyword
Travel,LOOKALIKE,0.97%,0.02%,78,LOOKALIKE,Mid Funnel,Target new people who behave like current customers
Travel,NETWORK,26.07%,0.07%,127,REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Travel,OG,2.67%,0.03%,129,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Travel,OT,1.13%,0.02%,11,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Travel,PMP,0.17%,0.03%,5,DEAL,Upper Funnel,Targeting a specific Deal ID
Travel,PO.ST,0.10%,0.03%,22,PO.ST WIDGET,Mid Funnel,Target users who have engaged with content via your own Po.st widget
Travel,PO.STT,0.18%,0.01%,10,PO.ST WIDGET,Mid Funnel,Target users who have engaged with content via your own Po.st widget
Travel,POST,0.27%,0.02%,22,PO.ST WIDGET,Mid Funnel,Target users who have engaged with content via your own Po.st widget
Travel,R1 CONTENT,1.98%,0.01%,237,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Travel,R1 INTENT,0.04%,0.02%,0,R1INTENT,Mid Funnel,RadiumOne first party data - consumer intent across social sharing
Travel,R1CONTENT,2.93%,0.03%,238,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Travel,R1INTENT,0.00%,0.00%,0,R1INTENT,Mid Funnel,RadiumOne first party data - consumer intent across social sharing
Travel,RAWCAT,0.00%,0.00%,0,BEHAVIOURAL SIGNAL,Upper Funnel,Target users who demonstrate relevant purchase intent behaviours to your campaign.
Travel,REC_DOMAIN,0.00%,0.00%,0,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Travel,RM,7.99%,0.03%,"4,877",RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Travel,RMFILTER,0.08%,0.02%,64,RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Travel,RON,7.69%,0.05%,"6,861",REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Travel,RR1 CONTENT,0.01%,0.02%,0,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Travel,SEARCH,0.03%,0.02%,0,KEYWORD,Mid Funnel,Target pre-defined lists of search keyword
Travel,SG,0.32%,0.01%,4,SHAREGRAPH,Mid Funnel,Sharegraph™ - finds the close social connections of your current customers
Travel,SHAREGRAPH,0.38%,0.01%,1,SHAREGRAPH,Mid Funnel,Sharegraph™ - finds the close social connections of your current customers
Travel,SITE,3.02%,0.02%,159,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Travel,URL,13.13%,0.02%,876,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Travel,VIEWABILITY,0.18%,0.03%,7,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Travel,VIEWABLE,0.76%,0.04%,3,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
