Ad Category,Strategy Type,% of Total Impressions,CTR,Conversions,Strategy Name,Funnel,Description
Technology,VIEWABILITY,0.02%,0.11%,0,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Technology,VIEWABLE,7.02%,0.18%,0,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Travel,APP,2.16%,1.31%,0,APP LIST,Upper Funnel,Targeting a brand safe whitelist of mobile apps
Travel,BESPOKE,3.36%,0.02%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Travel,CLICKER,0.98%,0.13%,0,CLICKER,Low Funnel,Targeting users who clicked on your campaign to drive further engagement
Travel,CLICKERS,0.07%,1.06%,0,CLICKER,Low Funnel,Targeting users who clicked on your campaign to drive further engagement
Travel,CONVERTER,0.00%,0.15%,0,CONVERTER,Low Funnel,Targeting users that converted to drive after sales or repeat business
Travel,DEAL,2.73%,0.03%,0,PMP,Upper Funnel,"Targeting private market places, relevant to your campaign"
Travel,DOMAIN,19.78%,0.08%,0,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Travel,FOLD,0.99%,0.10%,0,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Travel,IPEXP,0.00%,0.00%,0,AUDIENCE EXP,Mid Funnel,Increase reach through identifying devices that are connected to the same customer IP
Travel,KEYWORD,0.01%,0.07%,0,KEYWORD,Mid Funnel,Target pre-defined lists of search keyword
Travel,KW,0.00%,0.02%,0,KEYWORD,Mid Funnel,Target pre-defined lists of search keyword
Travel,LIST,0.14%,0.08%,0,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Travel,LOOKALIKE,0.10%,0.02%,0,LOOKALIKE,Mid Funnel,Target new people who behave like current customers
Travel,NETWORK,38.89%,0.13%,0,REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Travel,OG,1.96%,0.08%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Travel,OT,0.09%,0.05%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Travel,POST,0.08%,0.53%,0,PO.ST WIDGET,Mid Funnel,Target users who have engaged with content via your own Po.st widget
Travel,R1 INTENDERS,0.00%,0.00%,0,R1INTENT,Mid Funnel,RadiumOne first party data - consumer intent across social sharing
Travel,R1CONTENT,0.32%,0.08%,0,R1CONTENT,Upper Funnel,RadiumOne first party data - consumer behaviour page views
Travel,R1INTENT,0.06%,0.00%,0,R1INTENT,Mid Funnel,RadiumOne first party data - consumer intent across social sharing
Travel,RAWCAT,0.09%,0.39%,0,BEHAVIOURAL SIGNAL,Upper Funnel,Target users who demonstrate relevant purchase intent behaviours to your campaign.
Travel,RM,0.52%,0.02%,0,RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Travel,RMFILTER,0.03%,0.28%,0,RM,Low Funnel,Targeting of remarketing segments with different frequencies & recencies applied
Travel,RON,10.77%,0.06%,0,REACH,Upper Funnel,"A/B testing across multiple brand safe websites with low frequency capping
"
Travel,SEARCH,0.01%,0.05%,0,KEYWORD,Mid Funnel,Target pre-defined lists of search keyword
Travel,SHAREGRAPH,0.60%,0.03%,0,SHAREGRAPH,Mid Funnel,Sharegraph™ - finds the close social connections of your current customers
Travel,SITE,0.00%,0.00%,0,DOMAIN,Mid Funnel,Target a bespoke whitelist of top performing sites
Travel,URL,5.80%,0.09%,0,OVERLAP,Mid Funnel,We identify domains that have a high overlap with your current customers content behaviour
Travel,VIEWABILITY,0.15%,0.04%,0,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
Travel,VIEWABLE,10.31%,0.06%,0,VIEWABLE,Upper Funnel,Target a whitelist of high viewability websites
